note_id,etudiant_id,module,filiere,note,semestre,annee,mention
182,31,Programmation C,Informatique,8.66,2,2023,Échec
183,31,Réseaux,Informatique,9.41,1,2023,Échec
184,31,Réseaux,Informatique,15.89,1,2023,Bien
185,31,IA,Informatique,12.44,2,2023,Assez Bien
186,31,Réseaux,Informatique,13.38,1,2023,Assez Bien
187,32,Droit Administratif,Droit,10.89,2,2023,Passable
188,32,Procédure Civile,Droit,7.9,2,2023,Échec
189,32,Droit Commercial,Droit,13.02,1,2023,Assez Bien
190,32,Procédure Civile,Droit,11.25,1,2023,Passable
191,32,Droit Commercial,Droit,7.33,2,2023,Échec
192,32,Droit Int.,Droit,15.72,2,2023,Bien
193,33,Analyse 1,Mathématiques,8.59,1,2023,Échec
194,33,Algèbre 1,Mathématiques,13.23,2,2023,Assez Bien
195,33,Statistiques,Mathématiques,7.46,1,2023,Échec
196,33,Analyse 1,Mathématiques,7.17,1,2023,Échec
197,33,Probabilités,Mathématiques,11.48,2,2023,Passable
198,33,Analyse Numérique,Mathématiques,14.46,2,2023,Bien
199,34,Topologie,Mathématiques,9.04,2,2021,Échec
200,34,Probabilités,Mathématiques,8.49,2,2021,Échec
201,34,Statistiques,Mathématiques,14.9,1,2021,Bien
202,34,Analyse Numérique,Mathématiques,17.81,1,2021,Très Bien
203,34,Analyse Numérique,Mathématiques,10.93,1,2021,Passable
204,34,Algèbre 1,Mathématiques,17.6,1,2021,Très Bien
205,35,Réseaux,Informatique,12.16,2,2021,Assez Bien
206,35,Systèmes d'exploitation,Informatique,11.88,1,2021,Passable
207,35,Algorithmique,Informatique,11.64,1,2021,Passable
208,35,Algorithmique,Informatique,6.17,2,2021,Échec
209,35,Systèmes d'exploitation,Informatique,14.27,2,2021,Bien
210,35,Bases de Données,Informatique,15.83,1,2021,Bien
211,36,Électrotechnique,Génie Électrique,10.66,1,2023,Passable
212,36,Électrotechnique,Génie Électrique,6.68,1,2023,Échec
213,36,Électronique,Génie Électrique,14.67,2,2023,Bien
214,36,Signal,Génie Électrique,11.82,2,2023,Passable
215,36,Énergie,Génie Électrique,15.63,1,2023,Bien
216,36,Télécoms,Génie Électrique,8.99,1,2023,Échec
217,37,Matériaux,Génie Civil,6.38,2,2020,Échec
218,37,Matériaux,Génie Civil,7.75,2,2020,Échec
219,37,Hydraulique,Génie Civil,8.15,1,2020,Échec
220,37,Topographie,Génie Civil,11.33,2,2020,Passable
221,37,Hydraulique,Génie Civil,9.02,1,2020,Échec
222,37,Béton Armé,Génie Civil,12.22,1,2020,Assez Bien
223,38,Bases de Données,Informatique,9.87,2,2020,Échec
224,38,Réseaux,Informatique,15.82,2,2020,Bien
225,38,Algorithmique,Informatique,11.71,1,2020,Passable
226,38,Algorithmique,Informatique,3.88,2,2020,Échec
227,38,Programmation C,Informatique,6.64,2,2020,Échec
228,38,Programmation C,Informatique,13.7,1,2020,Assez Bien
229,39,Analyse Numérique,Mathématiques,10.68,2,2021,Passable
230,39,Algèbre 1,Mathématiques,7.04,2,2021,Échec
231,39,Analyse 1,Mathématiques,8.39,2,2021,Échec
232,39,Probabilités,Mathématiques,12.39,2,2021,Assez Bien
233,39,Statistiques,Mathématiques,11.57,1,2021,Passable
234,39,Probabilités,Mathématiques,12.39,1,2021,Assez Bien
235,40,Physiologie,Biologie,6.78,2,2021,Échec
236,40,Génétique,Biologie,12.22,2,2021,Assez Bien
237,40,Biologie Cellulaire,Biologie,17.1,1,2021,Très Bien
238,40,Génétique,Biologie,19.64,1,2021,Très Bien
239,40,Microbiologie,Biologie,10.24,1,2021,Passable
240,40,Génétique,Biologie,17.29,1,2021,Très Bien
241,41,Électromagnétisme,Physique,13.79,2,2022,Assez Bien
242,41,Thermodynamique,Physique,11.26,2,2022,Passable
243,41,Thermodynamique,Physique,4.1,2,2022,Échec
244,41,Mécanique,Physique,12.6,1,2022,Assez Bien
245,41,Mécanique,Physique,10.59,2,2022,Passable
246,41,Électromagnétisme,Physique,14.97,1,2022,Bien
247,42,Probabilités,Mathématiques,14.08,1,2021,Bien
248,42,Analyse Numérique,Mathématiques,4.15,1,2021,Échec
249,42,Statistiques,Mathématiques,11.58,1,2021,Passable
250,42,Algèbre 1,Mathématiques,6.71,2,2021,Échec
251,42,Analyse Numérique,Mathématiques,11.64,1,2021,Passable
252,42,Statistiques,Mathématiques,6.19,2,2021,Échec
253,43,Structures,Génie Civil,20.0,1,2022,Très Bien
254,43,Structures,Génie Civil,8.74,1,2022,Échec
255,43,Structures,Génie Civil,15.48,2,2022,Bien
256,43,Topographie,Génie Civil,9.14,2,2022,Échec
257,43,Mécanique des Sols,Génie Civil,10.16,1,2022,Passable
258,43,Béton Armé,Génie Civil,12.01,1,2022,Assez Bien
259,44,Droit Int.,Droit,10.36,2,2022,Passable
260,44,Procédure Civile,Droit,11.28,1,2022,Passable
261,44,Droit Administratif,Droit,11.13,1,2022,Passable
262,44,Procédure Civile,Droit,10.48,2,2022,Passable
263,44,Droit Int.,Droit,7.83,1,2022,Échec
264,44,Droit Pénal,Droit,8.81,1,2022,Échec
265,45,Statistiques,Mathématiques,15.66,1,2021,Bien
266,45,Analyse 1,Mathématiques,14.02,2,2021,Bien
267,45,Analyse Numérique,Mathématiques,13.82,1,2021,Assez Bien
268,45,Algèbre 1,Mathématiques,15.08,2,2021,Bien
269,45,Algèbre 1,Mathématiques,8.92,2,2021,Échec
270,45,Statistiques,Mathématiques,15.67,1,2021,Bien
271,46,Biologie Cellulaire,Biologie,9.6,1,2023,Échec
272,46,Microbiologie,Biologie,7.5,1,2023,Échec
273,46,Écologie,Biologie,9.62,2,2023,Échec
274,46,Génétique,Biologie,6.07,1,2023,Échec
275,46,Biochimie,Biologie,7.26,2,2023,Échec
276,46,Biochimie,Biologie,16.31,1,2023,Très Bien
277,47,Algorithmique,Informatique,6.71,2,2020,Échec
278,47,Systèmes d'exploitation,Informatique,10.15,2,2020,Passable
279,47,Réseaux,Informatique,16.7,2,2020,Très Bien
280,47,IA,Informatique,11.03,1,2020,Passable
281,47,Algorithmique,Informatique,8.22,1,2020,Échec
282,47,Bases de Données,Informatique,8.4,1,2020,Échec
283,48,Droit Int.,Droit,18.24,1,2023,Très Bien
284,48,Procédure Civile,Droit,9.48,2,2023,Échec
285,48,Procédure Civile,Droit,12.85,2,2023,Assez Bien
286,48,Droit Int.,Droit,13.69,2,2023,Assez Bien
287,48,Droit Civil,Droit,15.83,1,2023,Bien
288,48,Droit Pénal,Droit,14.34,1,2023,Bien
289,49,Béton Armé,Génie Civil,12.37,1,2021,Assez Bien
290,49,Béton Armé,Génie Civil,15.4,2,2021,Bien
291,49,Structures,Génie Civil,5.42,2,2021,Échec
292,49,Béton Armé,Génie Civil,11.35,2,2021,Passable
293,49,Mécanique des Sols,Génie Civil,9.79,1,2021,Échec
294,49,Structures,Génie Civil,10.05,2,2021,Passable
295,50,Béton Armé,Génie Civil,5.41,2,2021,Échec
296,50,Matériaux,Génie Civil,12.14,2,2021,Assez Bien
297,50,Hydraulique,Génie Civil,11.38,2,2021,Passable
298,50,Matériaux,Génie Civil,9.67,1,2021,Échec
299,50,Structures,Génie Civil,14.08,1,2021,Bien
300,50,Matériaux,Génie Civil,12.46,1,2021,Assez Bien
301,51,Anatomie,Médecine,10.23,1,2021,Passable
302,51,Physiologie,Médecine,6.13,1,2021,Échec
303,51,Sémiologie,Médecine,9.23,2,2021,Échec
304,51,Pathologie,Médecine,9.22,1,2021,Échec
305,51,Pathologie,Médecine,5.69,2,2021,Échec
306,51,Anatomie,Médecine,8.23,1,2021,Échec
307,52,Programmation C,Informatique,6.49,1,2021,Échec
308,52,Systèmes d'exploitation,Informatique,9.54,2,2021,Échec
309,52,Bases de Données,Informatique,15.14,2,2021,Bien
310,52,Bases de Données,Informatique,8.09,2,2021,Échec
311,52,IA,Informatique,5.17,1,2021,Échec
312,52,Systèmes d'exploitation,Informatique,13.72,1,2021,Assez Bien
313,53,Optique,Physique,11.9,2,2020,Passable
314,53,Thermodynamique,Physique,1.91,2,2020,Échec
315,53,Optique,Physique,11.08,1,2020,Passable
316,53,Thermodynamique,Physique,10.98,1,2020,Passable
317,53,Physique Quantique,Physique,16.56,1,2020,Très Bien
318,53,Thermodynamique,Physique,17.31,1,2020,Très Bien
319,54,Macroéconomie,Économie,11.52,2,2022,Passable
320,54,Marketing,Économie,10.34,1,2022,Passable
321,54,Microéconomie,Économie,14.65,1,2022,Bien
322,54,Comptabilité,Économie,11.88,2,2022,Passable
323,54,Marketing,Économie,11.0,2,2022,Passable
324,54,Microéconomie,Économie,14.08,2,2022,Bien
325,55,Énergie,Génie Électrique,16.66,2,2022,Très Bien
326,55,Signal,Génie Électrique,7.79,1,2022,Échec
327,55,Signal,Génie Électrique,13.8,1,2022,Assez Bien
328,55,Énergie,Génie Électrique,5.56,2,2022,Échec
329,55,Électronique,Génie Électrique,10.37,1,2022,Passable
330,55,Électronique,Génie Électrique,5.8,2,2022,Échec
331,56,Droit Commercial,Droit,14.11,1,2022,Bien
332,56,Droit Pénal,Droit,8.07,1,2022,Échec
333,56,Droit Int.,Droit,11.67,2,2022,Passable
334,56,Procédure Civile,Droit,7.13,1,2022,Échec
335,56,Droit Commercial,Droit,8.79,1,2022,Échec
336,56,Droit Pénal,Droit,10.43,1,2022,Passable
337,57,IA,Informatique,10.54,2,2020,Passable
338,57,Systèmes d'exploitation,Informatique,7.03,1,2020,Échec
339,57,Programmation C,Informatique,4.6,1,2020,Échec
340,57,Programmation C,Informatique,13.91,2,2020,Assez Bien
341,57,Algorithmique,Informatique,4.46,2,2020,Échec
342,57,Bases de Données,Informatique,12.0,1,2020,Assez Bien
343,58,Signal,Génie Électrique,4.1,1,2021,Échec
344,58,Électrotechnique,Génie Électrique,10.92,2,2021,Passable
345,58,Énergie,Génie Électrique,12.29,1,2021,Assez Bien
346,58,Énergie,Génie Électrique,14.8,1,2021,Bien
347,58,Électrotechnique,Génie Électrique,17.24,2,2021,Très Bien
348,58,Télécoms,Génie Électrique,14.01,1,2021,Bien
349,59,Béton Armé,Génie Civil,9.02,2,2023,Échec
350,59,Mécanique des Sols,Génie Civil,7.3,2,2023,Échec
351,59,Hydraulique,Génie Civil,10.26,2,2023,Passable
352,59,Mécanique des Sols,Génie Civil,10.51,2,2023,Passable
353,59,Matériaux,Génie Civil,14.13,1,2023,Bien
354,59,Topographie,Génie Civil,4.51,1,2023,Échec
355,60,Droit Pénal,Droit,12.2,1,2022,Assez Bien
356,60,Droit Civil,Droit,14.68,1,2022,Bien
357,60,Droit Pénal,Droit,19.68,2,2022,Très Bien
358,60,Droit Civil,Droit,8.12,2,2022,Échec
359,60,Droit Int.,Droit,12.14,2,2022,Assez Bien
360,60,Droit Civil,Droit,7.78,2,2022,Échec
361,61,Chimie Organique,Chimie,10.83,2,2023,Passable
362,61,Électrochimie,Chimie,8.25,2,2023,Échec
363,61,Électrochimie,Chimie,10.72,1,2023,Passable
364,61,Thermochimie,Chimie,8.81,1,2023,Échec
365,61,Chimie Analytique,Chimie,12.57,2,2023,Assez Bien
366,61,Chimie Générale,Chimie,13.87,2,2023,Assez Bien
367,62,Télécoms,Génie Électrique,12.4,2,2020,Assez Bien
368,62,Télécoms,Génie Électrique,10.5,2,2020,Passable
369,62,Électronique,Génie Électrique,18.98,2,2020,Très Bien
370,62,Électrotechnique,Génie Électrique,11.96,2,2020,Passable
371,62,Énergie,Génie Électrique,12.81,2,2020,Assez Bien
372,62,Signal,Génie Électrique,10.73,1,2020,Passable
373,63,Macroéconomie,Économie,14.3,1,2023,Bien
374,63,Microéconomie,Économie,20.0,1,2023,Très Bien
375,63,Marketing,Économie,9.43,1,2023,Échec
376,63,Microéconomie,Économie,15.37,2,2023,Bien
377,63,Statistiques Éco,Économie,7.65,1,2023,Échec
378,63,Marketing,Économie,15.49,2,2023,Bien
379,64,Analyse 1,Mathématiques,5.22,1,2022,Échec
380,64,Topologie,Mathématiques,5.16,2,2022,Échec
381,64,Algèbre 1,Mathématiques,15.94,1,2022,Bien
382,64,Analyse 1,Mathématiques,17.96,2,2022,Très Bien
383,64,Topologie,Mathématiques,16.34,1,2022,Très Bien
384,64,Statistiques,Mathématiques,9.65,1,2022,Échec
385,65,Biochimie,Biologie,17.09,2,2021,Très Bien
386,65,Écologie,Biologie,19.7,1,2021,Très Bien
387,65,Génétique,Biologie,7.97,1,2021,Échec
388,65,Génétique,Biologie,6.68,2,2021,Échec
389,65,Physiologie,Biologie,9.64,1,2021,Échec
390,65,Écologie,Biologie,6.32,1,2021,Échec
391,66,Statistiques Éco,Économie,19.15,2,2020,Très Bien
392,66,Microéconomie,Économie,7.35,1,2020,Échec
393,66,Macroéconomie,Économie,7.61,1,2020,Échec
394,66,Comptabilité,Économie,18.5,2,2020,Très Bien
395,66,Finance,Économie,8.82,2,2020,Échec
396,66,Macroéconomie,Économie,17.25,1,2020,Très Bien
397,67,Électronique,Génie Électrique,11.62,2,2021,Passable
398,67,Énergie,Génie Électrique,11.68,1,2021,Passable
399,67,Énergie,Génie Électrique,11.68,2,2021,Passable
400,67,Électronique,Génie Électrique,17.06,2,2021,Très Bien
401,67,Électrotechnique,Génie Électrique,5.55,2,2021,Échec
402,67,Électrotechnique,Génie Électrique,10.92,2,2021,Passable
403,68,Optique,Physique,8.64,1,2023,Échec
404,68,Mécanique,Physique,11.39,2,2023,Passable
405,68,Mécanique,Physique,19.74,1,2023,Très Bien
406,68,Relativité,Physique,6.58,1,2023,Échec
407,68,Électromagnétisme,Physique,19.38,2,2023,Très Bien
408,68,Physique Quantique,Physique,14.7,2,2023,Bien
409,69,Statistiques Éco,Économie,8.99,1,2022,Échec
410,69,Finance,Économie,14.94,2,2022,Bien
411,69,Microéconomie,Économie,5.19,2,2022,Échec
412,69,Finance,Économie,6.32,1,2022,Échec
413,69,Marketing,Économie,14.42,1,2022,Bien
414,69,Macroéconomie,Économie,13.8,2,2022,Assez Bien
415,70,Relativité,Physique,14.84,1,2023,Bien
416,70,Électromagnétisme,Physique,11.97,2,2023,Passable
417,70,Optique,Physique,8.27,2,2023,Échec
418,70,Optique,Physique,13.04,1,2023,Assez Bien
419,70,Optique,Physique,8.53,1,2023,Échec
420,70,Optique,Physique,19.62,2,2023,Très Bien
421,71,Chimie Générale,Chimie,10.66,1,2022,Passable
422,71,Thermochimie,Chimie,9.07,2,2022,Échec
423,71,Chimie Analytique,Chimie,8.61,1,2022,Échec
424,71,Thermochimie,Chimie,11.76,1,2022,Passable
425,71,Chimie Analytique,Chimie,8.4,1,2022,Échec
426,71,Biochimie,Chimie,16.17,1,2022,Très Bien
427,72,Béton Armé,Génie Civil,14.29,2,2020,Bien
428,72,Béton Armé,Génie Civil,13.87,2,2020,Assez Bien
429,72,Structures,Génie Civil,12.22,1,2020,Assez Bien
430,72,Topographie,Génie Civil,6.37,2,2020,Échec
431,72,Béton Armé,Génie Civil,12.01,1,2020,Assez Bien
432,72,Mécanique des Sols,Génie Civil,2.23,1,2020,Échec
433,73,Algèbre 1,Mathématiques,11.16,2,2023,Passable
434,73,Probabilités,Mathématiques,9.71,2,2023,Échec
435,73,Probabilités,Mathématiques,9.6,1,2023,Échec
436,73,Algèbre 1,Mathématiques,9.57,1,2023,Échec
437,73,Topologie,Mathématiques,11.06,2,2023,Passable
438,73,Statistiques,Mathématiques,10.38,1,2023,Passable
439,74,Électrochimie,Chimie,13.18,2,2023,Assez Bien
440,74,Thermochimie,Chimie,9.02,2,2023,Échec
441,74,Thermochimie,Chimie,15.76,1,2023,Bien
442,74,Électrochimie,Chimie,13.59,2,2023,Assez Bien
443,74,Électrochimie,Chimie,5.88,1,2023,Échec
444,74,Chimie Générale,Chimie,5.64,1,2023,Échec
445,75,Macroéconomie,Économie,14.49,1,2020,Bien
446,75,Microéconomie,Économie,12.26,2,2020,Assez Bien
447,75,Comptabilité,Économie,12.11,2,2020,Assez Bien
448,75,Macroéconomie,Économie,10.39,1,2020,Passable
449,75,Statistiques Éco,Économie,9.74,1,2020,Échec
450,75,Finance,Économie,16.75,2,2020,Très Bien
451,76,Microéconomie,Économie,13.81,2,2021,Assez Bien
452,76,Finance,Économie,12.86,1,2021,Assez Bien
453,76,Finance,Économie,11.81,2,2021,Passable
454,76,Macroéconomie,Économie,9.78,1,2021,Échec
455,76,Statistiques Éco,Économie,13.27,2,2021,Assez Bien
456,76,Marketing,Économie,8.24,1,2021,Échec
457,77,Télécoms,Génie Électrique,11.35,1,2021,Passable
458,77,Signal,Génie Électrique,12.34,2,2021,Assez Bien
459,77,Signal,Génie Électrique,8.3,2,2021,Échec
460,77,Électrotechnique,Génie Électrique,8.8,2,2021,Échec
461,77,Énergie,Génie Électrique,10.39,1,2021,Passable
462,77,Énergie,Génie Électrique,6.35,1,2021,Échec
463,78,Pathologie,Médecine,10.34,1,2020,Passable
